Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Aqgromalin,2019.0,Chennai,Agritech,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel Investors,200000.0,Pre series A,2020-01-01
Krayonnz,2019.0,Bangalore,Edtech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",Gsf Accelerator,100000.0,Pre-seed,2020-01-01
Padcare Labs,2018.0,Pune,Hygiene Management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre-seed,2020-01-01
Ncome,2020.0,New Delhi,Escrow,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, Pointone Capital",400000.0,Pre series A,2020-01-01
Gramophone,2016.0,Indore,Agritech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Seed Round,2020-01-01
Qzense,2019.0,Bangalore,Agritech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020-01-01
Myclassboard,2008.0,Hyderabad,Edtech,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,Icici Bank.,600000.0,Pre-series A,2020-01-01
Metvy,2018.0,Gurgaon,Networking Platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,Hostelfund,3000000.0,Pre-series,2020-01-01
Rupeek,2015.0,Bangalore,Fintech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","Kb Investment, Bertelsmann India Investments",45000000.0,Series C,2020-01-01
Gig India,2017.0,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020-01-01
Slurrp Farm,2016.0,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A,2020-01-01
Medfin,2017.0,Bangalore,Healthtech,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series A,2020-01-01
Masterg,2015.0,New Delhi,Fashion Startup,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund'S Angel Programme,3000000.0,Seed Round,2020-01-01
Brila 91,2014.0,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Seed Round,2020-01-01
Foodybuddy,2015.0,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Pre series A,2020-01-01
